#,City Name,Area Code,Phone Number,Population
1,New York; New York,212,212-913-9005,"8,175,133"
2,Los Angeles; California,310,310-993-8020,"3,792,621"
3,Chicago; Illinois,847,847-230-4970,"2,695,598"
4,Houston; Texas,832,832-323-6444,"2,099,451"
5,Philadelphia; Pennsylvania,215,215-325-1601,"1,526,006"
6,Phoenix; Arizona,480,480-485-9778,"1,445,632"
7,San Antonio; Texas,210,210-568-9187,"1,327,407"
8,San Diego; California,858,858-221-0010,"1,307,402"
9,Dallas; Texas,214,214-295-4253,"1,197,816"
10,San Jose; California,408,408-300-5878,"945,942"
11,Austin; Texas,512,512-298-3767,"790,390"
12,Jacksonville; Florida,904,904-419-7521,"821,784"
13,Indianapolis; Indiana,765,765-205-4258,"820,445"
14,San Francisco; California,415,415-404-6668,"805,235"
15,Columbus; Ohio,614,614-340-5597,"787,033"
16,Fort Worth; Texas,682,682-235-5270,"741,206"
17,Charlotte; North Carolina,704,704-313-9940,"731,424"
18,Detroit; Michigan,313,313-636-1682,"713,777"
19,El Paso; Texas,915,915-206-2601,"649,121"
20,Memphis; Tennessee,901,901-312-7764,"646,889"
21,Boston; Massachusetts,617,617-314-6816,"617,594"
22,Seattle; Washington,206,206-274-9944,"608,660"
23,Denver; Colorado,720,720-226-9454,"600,158"
24,Washington; District of Columbia,202,202-866-0999,"601,723"
25,Nashville; Tennessee,615,615-647-0684,"601,222"
26,Baltimore; Maryland,410,410-840-7459,"620,961"
27,Louisville; Kentucky,502,502-242-7838,"597,337"
28,Portland; Oregon,503,503-446-2857,"583,776"
29,Oklahoma City; Oklahoma,405,405-400-7458,"579,999"
30,Milwaukee; Wisconsin,414,414-208-4942,"594,833"
31,Las Vegas; Nevada,702,702-342-1626,"583,756"
32,Albuquerque; New Mexico,505,505-206-5618,"545,852"
33,Tucson; Arizona,520,520-274-1309,"520,116"
34,Fresno; California,559,559-271-6899,"494,665"
35,Sacramento; California,916,916-596-2302,"466,488"
36,Long Beach; California,562,562-247-5946,"462,257"
37,Kansas City; Missouri,816,816-523-2112,"459,787"
38,Mesa; Arizona,602,602-344-9140,"439,041"
39,Virginia Beach; Virginia,757,757-251-9437,"437,994"
40,Atlanta; Georgia,404,404-551-3200,"420,003"
41,Colorado Springs; Colorado,719,719-387-5103,"416,427"
42,Raleigh; North Carolina,919,919-561-6735,"403,892"
43,Omaha; Nebraska,402,402-403-5054,"408,958"
44,Miami; Florida,786,786-480-1393,"399,457"
45,Oakland; California,510,510-240-5057,"390,724"
46,Tulsa; Oklahoma,918,918-221-7798,"391,906"
47,Minneapolis; Minnesota,612,612-260-2301,"382,578"
48,Cleveland; Ohio,216,216-232-2960,"396,815"
49,Wichita; Kansas,316,316-221-7593,"382,368"
50,Arlington; Texas,682,682-235-5270,"365,438"
51,New Orleans; Louisiana,504,504-308-1407,"343,829"
52,Bakersfield; California,661,661-388-5973,"347,483"
53,Tampa; Florida,813,813-344-5528,"335,709"
54,Honolulu; Hawaii,808,808-426-7882,"337,256"
55,Anaheim; California,714,714-408-7632,"336,265"
56,Aurora; Colorado,720,720-226-9454,"325,078"
57,Santa Ana; California,714,714-408-7632,"324,528"
58,Saint Louis; Missouri,314,314-260-7689,"319,294"
59,Riverside; California,951,951-329-3207,"303,871"
60,Corpus Christi; Texas,361,361-333-5414,"305,215"
61,Pittsburgh; Pennsylvania,412,412-227-9084,"305,704"
62,Lexington; Kentucky,859,859-286-4505,"295,803"
63,"Anchorage; Alaska",907,907-202-5567,"291,826"
64,Stockton; California,209,209-337-4679,"291,707"
65,Cincinnati; Ohio,513,513-453-4814,"296,943"
66,Saint Paul; Minnesota,651,651-393-7978,"285,068"
67,Toledo; Ohio,419,419-392-9497,"287,208"
68,Newark; New Jersey,862,862-227-1902,"277,140"
69,Greensboro; North Carolina,336,336-268-8589,"269,666"
70,Plano; Texas,214,214-295-4253,"259,841"
71,Henderson; Nevada,702,702-342-1626,"257,729"
72,Lincoln; Nebraska,402,402-403-5054,"258,379"
73,Buffalo; New York,716,716-313-2046,"261,310"
74,Fort Wayne; Indiana,260,260-234-2466,"253,691"
75,Jersey City; New Jersey,201,201-448-9804,"247,597"
76,Chula Vista; California,619,619-289-9693,"243,916"
77,Orlando; Florida,407,407-434-1972,"238,300"
78,Saint Petersburg; Florida,727,727-289-7269,"244,769"
79,Norfolk; Virginia,757,757-251-9437,"242,803"
80,Chandler; Arizona,480,480-485-9778,"236,123"
81,Laredo; Texas,956,956-242-0579,"236,091"
82,Madison; Wisconsin,608,608-234-5574,"233,209"
83,Durham; North Carolina,919,919-561-6735,"228,330"
84,Lubbock; Texas,806,806-224-1142,"229,573"
85,Winston Salem; North Carolina,336,336-268-8589,"229,617"
86,Garland; Texas,214,214-295-4253,"226,876"
87,Glendale; Arizona,623,623-289-1544,"226,721"
88,Hialeah; Florida,786,786-480-1393,"224,669"
89,Reno; Nevada,775,775-300-6796,"225,221"
90,Baton Rouge; Louisiana,225,225-361-8901,"229,493"
91,Irvine; California,949,949-241-8672,"212,375"
92,Chesapeake; Virginia,757,757-251-9437,"222,209"
93,Irving; Texas,214,214-295-4253,"216,290"
94,Scottsdale; Arizona,480,480-485-9778,"217,385"
95,North Las Vegas; Nevada,702,702-342-1626,"216,961"
96,Fremont; California,510,510-240-5057,"214,089"
97,"Gilbert; Arizona",480,480-485-9778,"208,453"
98,San Bernardino; California,909,909-266-1497,"209,924"
99,Boise; Idaho,208,208-297-3128,"205,671"
100,Birmingham; Alabama,205,205-517-8567,"212,237"